商品	订单号	订单状态	商品总价(元)	邮费(元)	店铺优惠折扣(元)	平台优惠折扣(元)	多多支付立减金额(元)	用户实付金额(元)	商家实收金额(元)	商品数量(件)	发货时间	确认收货时间	商品id	商品规格	样式ID	商家备注	售后状态	快递单号	快递公司	订单成交时间
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-117167920753189	待发货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"	"	"	"	2024/5/30 10:41
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-391480686811748	待发货	"18.0	"	"0.0	"	"1.8	"	"1.94	"	"0.0	"	"14.26	"	"16.2	"	"4	"	"	"	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"	"	"	"	2024/5/30 10:38
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-185094653613361	待发货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"	"	"	"	2024/5/30 10:35
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-210239506011748	待发货	"9.0	"	"0.0	"	"0.9	"	"0.97	"	"0.0	"	"7.13	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	用户备注：拍错了，改为作文本。	无售后或售后取消	"	"	"	"	2024/5/30 10:31
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-487357191860247	待发货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"	"	"	"	2024/5/30 10:30
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-538391375540247	未发货，退款成功	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	退款成功	"	"	"	"	2024/5/30 10:27
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-201840453831973	已取消	"9.0	"	"0.0	"	"0.9	"	"3.0	"	"0.0	"	"5.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K纠错本(5本)	"1599890404783	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-666055524551973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K书法本(田字格5本)	"1599890404774	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-011073011911973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K书法本(米字格5本)	"1599890404775	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-651270592071973	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"1.0	"	"0.0	"	"7.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K纠错本(5本)	"1599890404783	"	"	"	无售后或售后取消	"777218522319242	"	申通快递	2024/5/30 9:26
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-307211804231973	未发货，退款成功	"9.0	"	"0.0	"	"0.9	"	"3.0	"	"0.0	"	"5.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	退款成功	"	"	"	"	2024/5/30 9:25
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-635898478923932	已发货，待收货	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K田字本(5本)	"1599890404778	"	"	"	无售后或售后取消	"777218522323496	"	申通快递	2024/5/30 9:14
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-654783301323932	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K田字本(5本)	"1599890404778	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特10本装16K学生防近视作业本学校统一英语作业本初中笔记本	240530-003596685443677	已发货，待收货	"29.4	"	"0.0	"	"2.94	"	"0.0	"	"0.0	"	"26.46	"	"26.46	"	"2	"	2024/5/30 10:19	"	"	"613582632742	"	英语本(10本)	"1597127331050	"	"	"	无售后或售后取消	"777218522319930	"	申通快递	2024/5/30 8:49
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-413139003773401	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K作文本300格(5本)	"1599890404771	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-356835705121228	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	5本语文，5本英语	无售后或售后取消	"777218522320297	"	申通快递	2024/5/30 8:05
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-034760343841228	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K单线数学本(5本)	"1599890404780	"	"	"	无售后或售后取消	"777218522320297	"	申通快递	2024/5/30 8:03
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-635898447431973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K田字本(5本)	"1599890404778	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-421150082631973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K方格语文本(5本)	"1599890404773	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-249351390791973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K生字本(5本)	"1599890404781	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-077552698951973	待付款	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	"	"	"	"	"609881478958	"	16K练习本(5本)	"1599890404782	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-233884946840744	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K田字本(5本)	"1599890404778	"	"	"	无售后或售后取消	"777218522319096	"	申通快递	2024/5/30 7:17
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-450856230600371	待付款	"4.5	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"	"4.5	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-446850690741705	未发货，退款成功	"40.5	"	"0.0	"	"4.05	"	"4.37	"	"0.0	"	"32.08	"	"36.45	"	"9	"	"	"	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	退款成功	"	"	"	"	2024/5/30 5:52
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-176915812710991	待付款	"4.5	"	"0.0	"	"0.0	"	"0.45	"	"0.0	"	"4.05	"	"4.5	"	"1	"	"	"	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"	"	"	"	"	"
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-400713388442609	已发货，待收货	"9.0	"	"0.0	"	"0.9	"	"0.0	"	"0.0	"	"8.1	"	"8.1	"	"2	"	2024/5/30 10:19	"	"	"609881478958	"	16K横线语文本(5本)	"1599890404772	"	"	"	无售后或售后取消	"777218522319047	"	申通快递	2024/5/30 4:36
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-228914696602609	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.0	"	"0.0	"	"4.05	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K英语本(5本)	"1599890404776	"	"	"	无售后或售后取消	"777218522319047	"	申通快递	2024/5/30 4:36
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-057116004762609	已发货，待收货	"4.5	"	"0.0	"	"0.45	"	"0.0	"	"0.0	"	"4.05	"	"4.05	"	"1	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319047	"	申通快递	2024/5/30 4:36
莱特5本36页牛皮学生作业本16K学校统一语文练习本小学汉语拼音本	240530-422733494692920	已发货，待收货	"13.5	"	"0.0	"	"1.35	"	"1.85	"	"0.0	"	"10.3	"	"12.15	"	"3	"	2024/5/30 10:19	"	"	"609881478958	"	16K双线数学本(5本)	"1599890404779	"	"	"	无售后或售后取消	"777218522319102	"	申通快递	2024/5/30 4:04
