日期,代码,连扳天,名称,首封,后封,封单额,封单量,涨停原因,封成比,封流比
2022-11-17,1|600613,6,神奇制药, 09:33:30, 14:27:32,1.0742788E7,830200.0,中医药+超级真菌,0.8433236679894651,0.1732037131988686
2022-11-17,0|000815,5,美利云, 09:30:00, 09:30:00,4.2359023809999996E8,3.1493698E7,复牌+通过重组预案+光伏+数据中心,211.5772010917687,4.529752973275791
2022-11-17,0|002188,5,中天服务, 09:46:15, 14:53:33,5101488.0,529200.0,房地产服务+物业管理+摘帽,0.5665002456226027,0.21969148316522474
2022-11-17,0|002817,3,黄山胶囊, 09:56:45, 14:28:02,2.251942056E7,1858038.0,医疗器械+股权转让,1.7877260205224441,0.6406159551587657
2022-11-17,0|001338,2,永顺泰, 09:30:00, 09:30:00,3.439447596E8,3.1846737E7,新股上市+麦芽龙头,4978.674239404187,25.38949968296945
2022-11-17,1|600223,2,鲁商发展, 09:30:00, 09:30:00,2.37012534E8,2.47662E7,重大资产重组+中医药+医美,1063.6117672321238,2.436254251464688
2022-11-17,0|002181,2,粤传媒, 09:30:15, 09:30:15,1.0105562900000001E8,1.93223E7,视觉技术+互联网彩票+文化传媒+足球,56.82913413473266,1.7032119155017762
2022-11-17,1|600080,2,金花股份, 09:32:45, 09:33:30,7.438530476E7,7528877.0,感冒药+中医药+创新药+医疗器械,19.741424801418972,2.017004112716875
2022-11-17,0|002657,2,中科金财, 11:00:00, 13:14:01,8.625050167999999E7,4162669.0,信创+Web3.0+AIGC,4.368786191825072,1.4000450949249719
2022-11-17,1|605001,2,威奥股份, 14:13:32, 14:13:32,3.449851032E7,2908812.0,高压氧舱+高铁+轨道交通,5.894133746153343,1.2153539737062211
2022-11-17,0|000032,2,深桑达A, 13:49:47, 14:30:32,1.0798447517E8,3974401.0,信创+元宇宙+高铁+体育,3.066781590697481,0.6164119220394645
2022-11-17,0|002246,2,北化股份, 14:13:47, 14:52:48,9722312.0,749600.0,新冠检测+口罩+硝化棉+军工,0.5672795301139498,0.13653050921213566
2022-11-17,0|003004,1,声迅股份, 09:30:00, 09:30:00,8.47639548E7,2862680.0,数字经济+安防+智能医疗,170.203101217656,8.482379242960068
2022-11-17,1|603810,1,丰山集团, 09:30:00, 09:30:00,1.457475354E8,7835889.0,签订合作协议+钠离子电池+锂电池+农药,321.11522323274505,4.876376989258302
2022-11-17,0|002632,1,道明光学, 09:32:00, 09:32:00,2.645899256E8,3.4362328E7,新材料+元宇宙+安防+锂电池,222.72145493887342,5.839580581472972
2022-11-17,1|603669,1,灵康药业, 09:34:45, 09:34:45,4.71607962E7,6834898.0,医药+民营医院+医保目录,60.164226582826906,0.9476745061329626
2022-11-17,1|600833,1,第一医药, 09:35:45, 09:35:45,5.61587961E7,3897210.0,医药商业+上海国资,13.472621509531946,1.7469513721518781
2022-11-17,1|600557,1,康缘药业, 09:37:15, 09:37:15,5.616756E7,2679750.0,中医药+新冠治疗+医药电商,12.877530040001437,0.46488816890654716
2022-11-17,1|603121,1,华培动力, 09:40:45, 09:40:45,2.948404296E7,3962909.0,拟收购+汽车零部件+汽车电子+军工,30.493846996013936,1.1706098460532948
2022-11-17,1|600860,1,京城股份, 09:47:45, 09:47:45,6.4802293050000004E7,3963443.0,非公开发行+油气运输仓储+机器人,22.61050168082275,1.2308829192546584
2022-11-17,0|002980,1,华盛昌, 09:41:00, 09:49:15,4.8760955379999995E7,1145161.0,医疗器械+新冠检测+外销,12.245696911032175,3.435476129047742
2022-11-17,0|000779,1,甘咨询, 09:55:45, 09:55:45,4.05588866E7,3589282.0,工程咨询+国资云+口罩,20.603281433292516,0.9633139010333738
2022-11-17,0|002317,1,众生药业, 10:00:00, 10:00:00,2.521877311E8,6668105.0,医药+新冠治疗+仿制药+医疗器械,6.905725990140771,0.9428676118841048
2022-11-17,0|301126,1,达嘉维康, 10:03:00, 10:03:00,4.3537213199999996E7,2138370.0,股份收购+医药商业+医疗器械+次新股,11.130741828752821,4.142006733954559
2022-11-17,1|600302,1,标准股份, 10:07:00, 10:07:00,4.18995486E7,6650722.0,缝制设备+西安国资,30.261945812062596,1.922119524682601
2022-11-17,0|001266,1,宏英智能, 10:13:45, 10:15:00,9.511931644000001E7,2970622.0,国产软件+人工智能+智能制造+次新股,52.93006337983373,11.557041705571116
2022-11-17,0|002193,1,如意集团, 10:21:15, 10:22:00,3.2228455249999996E7,4433075.0,数字经济+新零售+纺织服饰,21.873172383783654,1.6989471837299583
2022-11-17,1|603232,1,格尔软件, 09:45:00, 10:35:15,5.201947803E7,2696707.0,信创+数字货币+网络安全+汽车芯片,6.373523929888536,1.163768056531767
2022-11-17,0|002979,1,雷赛智能, 09:41:15, 10:43:45,5.232651169E7,2312263.0,机器人+工业4.0+口罩,15.325486719411185,1.4670499359735993
2022-11-17,0|002639,1,雪人股份, 09:40:45, 10:50:15,3.7348754949999996E7,3636685.0,签署合作协议+国产替代+天然气+疫苗存储,3.621906679053724,0.5589878517529759
2022-11-17,0|002095,1,生意宝, 11:00:00, 11:00:00,6.120907936000001E7,4091516.0,互联网金融+移动支付+跨境电商,37.19754103532312,1.6254982973056344
2022-11-17,1|600892,1,大晟文化, 09:30:00, 11:01:45,2.730324E7,5809200.0,网络游戏+文化传媒,12.599743632566037,1.038619183864874
2022-11-17,1|603123,1,翠微股份, 11:06:00, 11:06:00,7.655230274000001E7,6305791.0,数字货币+移动支付+新零售,14.053053752238457,0.9667367024136589
2022-11-17,1|603021,1,山东华鹏, 10:13:00, 11:28:01,3514447.0,533300.0,玻璃器皿+新材料,1.2044270428989903,0.16668329957420902
2022-11-17,1|600222,1,太龙药业, 13:23:01, 13:23:01,5.9656176E7,8251200.0,CRO+中医药+新冠治疗+连翘,13.636607482040555,1.4377761316870508
2022-11-17,0|003026,1,中晶科技, 10:49:00, 13:34:01,3.4589672260000005E7,677963.0,芯片+汽车电子,9.163460181646453,1.2269211765810024
2022-11-17,0|002474,1,榕基软件, 13:39:46, 13:41:16,1.0065156255000001E8,9397905.0,信创+Web3.0+虚拟现实+数字经济,4.985396692894815,1.887517717549532
2022-11-17,0|002908,1,德生科技, 13:41:46, 13:41:46,6.6903987779999994E7,3885249.0,数字经济+职业教育+乡村振兴+区块链,20.54807322197573,1.816858714562671
2022-11-17,1|603444,1,吉比特, 13:42:01, 13:42:01,3.8330505E7,114300.0,网络游戏+在线教育,5.992946883510326,0.15904493557928717
2022-11-17,0|000066,1,中国长城, 13:45:02, 13:45:02,1.530340434E8,1.268939E7,信创+数字经济+集成电路+钠离子电池,9.98537603251804,0.40324828760692955
2022-11-17,0|003029,1,吉大正元, 13:46:02, 13:46:02,7.166021622E7,1878873.0,信创+数字货币+网络安全+智慧政务,20.14503907479665,1.6602534637026434
2022-11-17,0|002555,1,三七互娱, 14:04:02, 14:04:02,9.500980589999999E7,5124585.0,游戏+虚拟现实+在线教育,4.165984812475261,0.31332959332817395
2022-11-17,0|002840,1,华统股份, 11:01:30, 14:15:32,1.2779343E7,743850.0,猪肉+养鸡+光伏,2.3351664738091547,0.16085493821200367
